time,valueA,valueB,valueC
1184,45,60,11.66666666
1185,41,60,21.5
1186,10,40,9
1187,119,63.33333333,20
1188,15,60,21.5
1189,18,60,17
1190,14,45,18.5
1191,5,30,6
1192,15,50,17.5
1193,8,60,10
1194,2,60,6.333333333
1195,0,50,11
1196,15,37.5,8
1197,27,60,17.5
1198,19,50,8
1199,26,60,10.5
1200,149,57.5,26
1201,1,50,7
1202,11,50,7.5
1203,45,52.5,11.75
1204,23,60,14
1205,1,60,7.5
1206,3,50,15.66666666
1207,3,60,3
1208,33,60,11
1209,5,60,4
1210,1,30,6
1211,12,60,9
1212,28,60,11
1213,1,30,5.5
1214,1,30,6.666666666
1215,16,66.66666666,20.5
1216,0,30,5.5
1217,0,30,6.5
1218,1,30,5
1219,67,66.66666666,22.5
1220,6,30,6
1221,11,30,7.333333333
1222,16,60,5.5
1223,48,66.66666666,15.66666666
1224,9,60,8.5
1225,45,52.5,11
1226,85,50,11.33333333
1227,43,60,20
1228,7,48,12.66666666
1229,48,50,10
1230,55,60,15
1231,36,51.42857142,12
1232,78,60,12
1233,4,60,12.66666666
1234,56,60,12.66666666
1235,56,60,12
1236,172,57.5,24.66666666
1237,12,30,13.5
1238,10,30,17
1239,59,50,10
1240,53,30,10
1241,25,52.5,13
1242,28,60,11
1243,13,42,10
1244,84,66.66666666,20
1245,18,60,22
1246,62,45,27
1247,6,30,8.5
1248,18,50,14.33333333
1249,3,60,12
1250,2,30,8
1251,0,50,9.5
1252,10,50,16
1253,2,30,2
1254,31,60,25
1255,2,30,11
1256,8,50,11
1257,6,30,7
1258,1,30,8
1259,13,50,20
1260,86,56.66666666,24
1261,1,40,11
1262,52,45,17.33333333
1263,13,30,16
1264,9,30,6.666666666
1265,16,56.66666666,22
1266,5,30,8.5
1267,7,30,5.666666666
1268,120,56.66666666,32
1269,10,30,9
1270,70,56.66666666,21.5
1271,44,65,33
1272,10,50,19.75
1273,5,50,19.5
1274,163,75,20
1275,9,50,21
1276,11,30,6
1277,30,42.85714285,20
1278,13,37.5,15
1279,2,30,22
1280,33,36.66666666,18.5
1281,45,68.75,35
1282,28,50,17.66666666
1283,5,30,8.5
1284,0,60,7.5
1285,45,35,16.33333333
1286,44,30,32.5
1287,1,20,8.5
1288,44,66.66666666,15.66666666
1289,0,60,7
1290,28,26.66666666,19.33333333
1291,26,48,21
1292,7,60,7.333333333
1293,6,50,13.5
1294,70,57.5,34.5
1295,1,40,8
1296,5,60,5.25
1297,15,60,21
1298,10,60,11.5
1299,15,53.33333333,18
1300,33,60,12.5
1301,1,40,7.5
1302,0,30,7
1303,51,60,13.66666666
1304,5,50,7
1305,8,50,30
1306,1,30,8
1307,17,60,16
1308,0,30,5
1309,31,50,13.5
1310,42,57.14285714,27.5
1311,37,52.5,18.66666666
1312,15,60,11.33333333
1313,23,60,24.33333333
1314,2,50,8
1315,26,56,18
1316,42,60,18
